안
한
말
안철수
하고
국민
게
사람
후보
할
대통령
적
이재명
윤석열
백신
못
나라
수
생각
패스
돈
더
공약
해
하면
놈
잘
라
인데
방역
명
있는
하지
진짜
건
폐지
한다
지금
이나
정권
표
여가부
민주당
내
그냥
정책
윤
없는
해서
지지
전
정치
소리
세금
당
줄
대선
대
보다
요
말고
인간
철수
되는
대한민국
접종
님
선제
정부
원
문제
군대
같은
되면
듯
국가
타격
알
서
월급
라고
대장동
걸
전쟁
개
한테
재
처럼
없다
정말
북한
코로나
씨
이제
데
위해
위
여성
교체
될
너무
군
문재인
보고
누가
인지
정신
가족
입
답
된다
간
반대
분
미사일
거지
선거
없이
문
이냐
중
수준
하네
그런
힘
번
집
페미
해라
인가
때문
형
수사
여자
두
검찰
부동산
아니라
미래
사기꾼
얘기
니까
해도
보면
하는데
아무
역시
많이
죄명
정도
이라고
제대로
본인
ᆢ
없고
이지
갈라
성
지지율
사기
난
뿐
뭘
한다고
아니고
치기
댓글
라는
제발
검사
거야
후
맞는
갈등
무조건
아닌
멸공
시
범
되고
에는
병사
속
가지
남
법
하자
처
철회
주
양
살
이렇게
연금
바보
찬성
미
막
대안
뭔
지원
꼭
이유
국
비
ㆍ
그렇게
죄
장모
김건희
저런
식
전과
과학
엔
남녀
공무원
한다는
함
밖에
사회
머리
토론
거짓말
이라
당선
다시
해야지
우리나라
맞고
군인
의사
아닌가
이야
범죄
짓
상식
든
남자
정치인
절대
차
조작
애
비리
개혁
집안
마트
자살
계속
단
아니다
공정
좋은
건가
하게
임
마라
모병제
대한
/
자체
대로
기사
열
공격
자유
조
경제
씩
강제
앞
끝
근데
먼저
예산
하니
정상
(
이랑
장
이미
모든
현실
에도
온
거리
부
모르는
보수
이라도
사실
좌파
눈
한국
쓰레기
그게
일이
)
아는
받고
이라는
이란
경력
아들
했다
능력
파이팅
이니
있고
배
걱정
가장
선
리
기자
뒤
질
렬
했는데
미국
젠
관련
부작용
핵
공
시작
욕
되지
아주
건지
상황
많은
업자
꼴
세상
사건
텐데
제일
,,
있는데
이준석
선동
랑
세계
대해
곳
응원
서열
대책
선택
투표
억
준비
세
급
피해
유석
가는
석
공산당
프로
대통
보는
사퇴
물
상
겁니다
언론
갈
포퓰리즘
이해
숙주
술
넌
됩니다
돼
허위
방법
하기
하다
범죄자
빨갱이
자식
이야기
확
큰
여성가족부
있나
있냐
현
대표
책임
개발
본
받는
보니
자영
죠
라면
출신
되어
편
이용
국방
청년
라도
줄리
권력
나도
소
아니냐
하세요
준
총
있을
필요
마누라
비판
그것
효과
임대
//
-
인들
마음
헛소리
날
홍준표
젠더
도대체
감
밥
갔다
남성
만들어
같은데
거짓
원금
주장
조사
특검
하던
통합
나면
미친
어차피
있네
해결
만이
그만
인정
않는
백
수가
국민연금
시대
몸통
인물
그걸
하는지
했던
간다
사과
없어
있으면
하여
똥
재난
않고
허경영
싶다
아직도
땅
아님
여가
먹고
찢재
집단
감염
아무리
재앙
개돼지
의혹
보
봐도
오늘
빚
개인
전문가
반
하겠다는
먹는
발
주는
운영
죽
발표
서울
하며
대체
하려고
쪽
보상
나오는
시키는
거고
k
조폭
이재
요즘
위조
오빠
거기
찢
않은
발언
모습
잖아
쳐
피
당연히
국회의원
살인
달
임대료
부부
투기
중국
마다
가서
잘못
세대
없네
있지
자가
회사
박근혜
주세요
처벌
일화
갑
됨
맞지
집값
받아
척
기본
라니
하라
젊은
제시
쇼
불
지지자
볼
북
야당
권
수도
세력
맞다
이름
영업
정의
보다는
통
실
아냐
마
보네
대장
찍
재원
순
일본
발사
아파트
있습니다
얘
화
판
정
주고
공개
동네
도리
있어
국힘
모르고
제한
종자
자리
목숨
그리
된다고
자꾸
의료
진정
쓰는
아직
동
구속
점
극
찰스
별
시장
자격
만든
최고
빨리
내용
병
남발
나온
쓰고
청소년
딸
진자
판단
ㅠㅠ
가만히
약
되는데
주면
보이
란
부사관
직업
의무
일반
조카
있다고
본다
서민
그동안
없음
반말
여당
손
사업
에서는
치고
솔직히
=
마스크
꾼
딴
감방
초등학생
만원
대남
단일
공작
나중
인생
주변
되어야
어디서
관심
사병
부인
장교
당연한
인권
며
차별
논리
가야
보자
난리
한번
진
먹을
현재
진심
조국
테
보호
와서
행위
완전
퍼
무식한
성인
질문
사는
죽어
변호
+
대가
있다는
합시다
없는데
생활
보기
지난
꾹
그거
머
뽑을
정당
률
지역
전혀
해주세요
부서
탈모
결과
감옥
거나
신
눈치
최
유지
복무
공산주의
뜻
놓고
적용
시기
민주주의
짐
사망
결혼
인해
구석
얼굴
력
뭔가
바이러스
안보
믿고
부담
먹은
거대
ㅠ
처음
봐야
비교
맘
내는
설명
지도자
주택
가짜
들어
연
교수
차려
끼리
피해자
열면
불법
노
고통
할까
급여
기회
없으니
몰라
나쁜
처가
합리
실망
갈라치
않나
뉴스
,,,
장난
원래
직원
강화
아치
존재
그나마
준석
미필
쌍욕
가진
거임
없지
들고
있음
분들
바랍니다
행동
이자
받은
나올
엄청
더러운
필요한
아니지
했으면
남불
사위
낫다
공감
싶은
받을
양심
벌써
있으니
기업
항상
비난
의미
된다는
없습니다
형수
대응
저렇게
말씀
고민
깨
공부
층
그건
보지
에서도
의원
글
평화
이익
입장
간첩
사고
아웃
만들고
좋겠다
도움
않을
온갖
하려면
보단
심판
깡통
무식
신뢰
천
낸
서로
구만
무
경
적극
어쩔
아니야
가라
올
김정은
방
부모
폭력
해주는
건희
아바타
평등
김
난다
내고
변호사
무시
터
최악
해봐라
말로
분열
규정
시키고
들이
하겠다
먼
하더니
조장
없다고
했다고
증거
래
준다고
돼서
돼지
시켜
혜택
좋다
검증
분양
실력
삭제
환자
근거
만드는
만들
달라
지는
맞은
맨날
대는
이후
겁
철
하니까
녀
출마
가면
교육
하겠지
짓거리
보인다
역대
없다는
여론
이든
가자
가고
두기
갑자기
되나
인상
면제
까
있는지
쏴
대출
길
잡
준수
전문
싫다
역
양반
시행
친
써준
치료
타블로
청와대
박원순
확실히
금
한심한
놀이
팩트
아니라고
덜
대가리
싸움
미접
같아
싹
하는구나
지도
겨
일자리
그대로
있어야
통제
지하철
줘라
침해
않는다
뻔
밑
집권
듣고
스스로
나와
복지
병원
지급
희생
마련
십
혐오
없을
경험
경우
측근
모양
전략
심
취급
건강
짜장
ㅜㅜ
통일부
방송
치는
아닌데
죽은
몸
나서
개월
왕
도덕
돌
가능한
보험
조직
