이재명
안
말
한
국민
하고
사람
게
할
명
돈
후보
대통령
못
나라
백신
적
놈
대장동
수
더
해
라
민주당
생각
진짜
잘
재
윤석열
하지
있는
하면
인데
정권
내
한다
인간
선제
이나
건
세금
전
표
타격
북한
소리
줄
해서
죄명
지금
없는
되면
패스
대선
공약
방역
대
개
당
대한민국
접종
그냥
말고
검찰
정책
알
자살
범
수사
걸
되는
요
전쟁
문재인
같은
라고
듯
국가
누가
정부
처럼
이제
전과
한테
될
문제
부동산
서
보다
씨
입
미사일
위해
지지
데
없다
정신
문
정말
숙주
분
하네
정치
여성
선거
갈등
위
된다
원
윤
교체
너무
군
해라
사기꾼
안철수
아니라
법
보고
거짓말
코로나
이라고
거지
인지
니까
ᆢ
이냐
모병제
집
특검
토론
미
공격
님
때문
인가
절대
중
두
군대
후
해도
몸통
아니고
남녀
없이
보면
처
반대
그런
여자
속
관련
맞고
조폭
아들
남
많이
얘기
주
번
이지
죄
역시
사건
댓글
이렇게
k
난
아닌
거야
본인
시
저런
아무
ㆍ
하자
한다고
아닌가
사기
국
힘
살
그렇게
양
찢
비리
답
살인
뭘
제대로
범죄
정도
성
짓
검사
먼저
핵
가지
이야
막
애
라는
좌파
마라
강제
뿐
꼭
대장
뭔
하는데
배
이라
아니다
자유
폐지
조사
수준
조
조작
책임
앞
계속
변호
건가
멸공
갈라
치기
조카
엔
이유
없고
에는
우리나라
제발
이랑
선
빚
페미
한다는
부작용
당선
머리
되고
지원
모르는
간
하게
이미
눈
사실
찢재
뒤
편
자식
공
비
사과
,,
바보
하니
가족
쓰레기
이니
이란
세상
함
보상
해야지
상
했다
억
범죄자
세계
미래
든
여가부
질
모든
근데
개발
텐데
다시
끝
(
욕
자체
에도
사퇴
그게
물
씩
아주
맞는
지지율
상황
권력
경제
공개
언론
무조건
대로
아는
이라는
식
공산당
차
대통
형
좋은
임
걱정
선동
있나
폭력
밖에
)
보수
재앙
소
미국
라니
대한
리
아직도
꼴
갈
돼
선택
기사
아파트
넌
이라도
죽
형수
주택
목숨
세
죽어
정치인
집값
운영
있는데
날
했는데
분양
그만
시작
그걸
동
큰
이용
데이트
많은
있을
거짓
온
개돼지
투표
월급
죠
의혹
변호사
감방
빨리
받고
능력
남자
철회
사회
보
곳
현실
필요
있냐
이야기
조율
그것
봐도
사망
미친
아니냐
정진
발
김진태
겁니다
중국
나면
한국
일이
/
아무리
시장
보는
인해
라도
랑
거리
하다
했던
대해
빨갱이
-
확
하세요
증거
죽은
인정
자가
급
않고
피
똥
센티
있네
열
서울
젠
쌍욕
장
국회의원
있고
피해
설계자
되지
먹은
소환
젠더
해결
하기
불
권
측근
눈치
군인
같은데
척
통
쳐
전과자
이름
발사
대책
되어
보니
와서
삭제
있으면
죽음
아치
현
발언
주장
백
규정
하던
감옥
않는
잘못
청소년
국방
하며
만들어
실력
준비
나오는
화
건지
아직
원금
도대체
구속
벌써
어차피
가는
여당
됩니다
지역
만이
받아
공급
나중
라면
알더라
녀
쇼
준수
달
살인자
먹고
무서운
정
무섭다
주는
젊은
김건희
마트
마음
제일
헛소리
인들
피해자
먹을
하려고
자꾸
하겠다는
집단
개혁
세대
평화
출신
이해
만든
하여
수가
있다고
주고
북
이익
그리
손
가만히
준
있지
방법
열면
보호
상식
얘
말로
소름
본
기본
시키는
프로
점
뻔
정상
병
하라
감염
별
대표
서민
업자
거기
가서
기획
땅
간다
고발
대체
수도
진
않은
거고
+
처벌
보이
일본
란
뉴스
안보
봐야
놓고
죽인
아님
잖아
주변
하는지
받는
며
김정은
마
실패
마다
볼
비판
단
당연히
미약
판단
자격
진실
석
가야
찍
경기도
먹는
가장
음주운전
얼굴
없어
집안
세력
규
도박
원가
자금
보네
행위
국제
에서는
오늘
약
대안
렬
허위
쪽
어디서
합시다
유동
극
짐
종자
악마
않나
진정
모습
그거
결과
지지자
민주주의
분들
싶다
야당
쓰는
신뢰
딴
들어
받은
폭등
감
건설
전문가
머
만들
주면
기업
밥
있어
심판
쓰고
효과
김부선
사는
공공
꾼
공산주의
새
인생
차려
혀
보기
화천댐
해주세요
하는구나
준다고
더러운
하긴
시기
물가
신
국힘
나쁜
테
시켜
조장
관심
없는데
공무원
맞은
발표
청년
행동
있습니다
자리
환수
자영
없네
최고
하늘
,,,
믿을
설계
저렇게
되는데
완전
있으니
퍼
도둑
있다는
남불
총
갔다
부
심신
말장난
국토
했더니
핵심
공정
된다고
나올
재원
인물
만들고
투기
됨
유석
달라
않을
사회주의
깨
베네수엘라
의미
개월
개인
박근혜
//
지도자
요즘
논리
민간
ㅠㅠ
길
사업
꾹
아웃
들이
모양
의무
반
찢어
불법
역
원래
혜택
예산
ㅠ
거부
죽고
성매매
대출
가짜
나도
이자
대는
천
정의
사진
래
인권
양심
만드는
장난
들고
판
내용
하다가
집권
역대
실패한
마누라
돼지
까
허경영
서열
고통
무
성남
폭탄
속지
싶은
당연한
뜻
받을
같아
아니야
터
치
찬성
갑자기
시키고
재난
유세
?!
유지
겨
뽑을
치고
금
맞다
실
나서
이는
조선
차별
돌
윗
가슴
복무
파이팅
일까
재건축
임대
아닌데
낸
짓거리
간첩
가진
아냐
받아라
영화
용적률
없지
작
대가
주둥이
그건
스스로
본다
이든
있어야
친
뭔가
김
대응
응원
경
할까
술
처음
했다고
박원순
해봐라
째
끼리
타령
쥐
고인
아수라
했냐
난리
일반
전문
순
없으니
사칭
진심
하더니
순간
무능
지사
공인
죽는
된다는
기간
아닙니다
여론
공산
덜
소상
초음속
의원
무기
짐당
개검
히
시대
잡
했지
겁
인구
인가요
빵
면서
웃기
대놓고
옆
거임
보자
좋겠다
밑
부산
거나
한번
민주
항상
아니지
전략
부자
했으면
거덜
두고
모르고
준다
반응
성인
전작권
생명
규탄
추경
미접
나를
공작
남발
규제
맨날
깡패
채
올리고
바꾸기
주세요
연
했나
가르
올
퍼주
앞뒤
될까
방
부모
지가
마냥
노
정당
쓸
이준석
없습니다
제목
돌파
한심하다
있는지
대가리
이래서
진자
바이러스
그만해라
삶
멸
최악
확실히
안전
겠지
부담
가라
먼
살인마
기회
않는다
되어야
쩝쩝
몰라
과거
몸
내는
솔직히
하려면
없음
유예
심
이구나
=
취급
해주는
표현
없다고
마당
갈라치
범인
식당
생활
정신병원
시민
청와대
난다
전혀
지난
하겠지
경우
쇠
빨
하니까
다니는
알아서
줘라
층
하겠다
장모
도움
무식한
저리
🐕
필요한
그럴
이라니
이를
라며
도세
설명
나와
상태
기자
생색
포퓰리즘
인센티브
징후
위협
직접
맞지
싸움
사망자
딸
음성
률
교육
잡아
치는
쓴
무시
싹
부실
김문기
경험
있게
ㅇ
되나
믿고
부정
대권
식이
토지
마피아
고민
살해
확인
관리
게이트
조국
없다는
놀이
칼
역사
보지
력
숨
팩트
시효
합
설
복지
철수
빠졌네
진상
요격
쏘면
공부
병사
주사
글
진태
페미니스트
상공
브
우연
x
가격
스럽다
천만
적극
핑계
대납
민
직원
똑같이
모르
시킨
동네
나가는
든지
암
하려는
보다는
마구
해쳐
근거
적용
싫다
보인다
폭
불륜
결정
현재
옹호
탓
똑바로
뇌
지는
비난
한심한
뱀
이며
온갖
똑같은
버리고
의료
있음
시행
아예
아니라고
하루
점점
무식
홍준표
패
앉아서
에선
핵무기
부인
가고
ㅜㅜ
이병철
남성
질병
저축은행
찌를
실천
도지사
검증
상한
풀
마련
방송
그동안
없을
꼬리
전국
어쩔
아버지
새끼
끝나면
이후
맙시
나온
래야
기술
사고
환자
포함
북괴
제명
오지
썩은
파
총각
최대
노무현
뻔한
이러니
맞아
돼서
존재
나랏빚
이기
로는
주지
계
이리
포기
좌빨
된다면
자는
보세요
깡통
써
경찰
기억
제한
통제
나랏돈
연기
패륜
책임질
과학
주적
선재
외
희생
혈세
억울한
사병
국진
욕설
협박
상승
가면
주제
명의
당할
뽑아
이낙연
결혼
재산
벌
빈
전체
비용
해놓고
화천
목적
참으로
없나
깨문
(?)
뽑으면
엄청
말씀
끌
제도
vs
여자친구
했다는
일자리
아닌지
손바닥
그나마
죄인
이래도
밀어
투자
독재
있을까
의지
양반
평생
구만
특히
에서도
전두환
줄리
완전히
정은
영업
선언
마세요
질문
이길
생
기는
조건
면책특권
여성가족부
마스크
행정
노후
소득
분명
제시
십
불면
유튜브
내고
구걸
공짜
판사
했는지
으로는
혹
혜경궁
추진
분열
단어
끝나고
봅니다
준다는
하겠다고
인사
처리
확보
죄다
용
콩
구석
뿌리
낼
프레임
성남시장
늘
없어요
눈물
통일
거니
충성
문죄인
개념
안다
의식
좋다고
해서는
만에
맛
보단
서로
나간
당하는
갖고
도입
려고
보도
추적
착각
좌
바
되기
중앙
주기
음
모른다
활동
후보자
불당
이명박
특기
답변
맞아야
최
한반도
좋다
바랍니다
박
만원
제보
뒤집어
치료
민생
하신
했습니다
믿음
쉽게
싫어
베
잡으면
제보자
시절
싫은
바꿀
..?
따로
멍청한
전라도
사비
대상
미리
매표
대처
표심
썩
희
자랑
없으면
뽑는다
조중동
맘
디
단체
몰아
조선일보
개판
언급
뽑는
관계
대화
지식
이전
예요
않으면
잡고
인성
애초
도덕
언
위험
병원
건강
생기
낙선
혈
하고자
백만
지급
방어
바다
꼬락서니
도발
중요한
모녀
무서워
사이
팝
심장마비
박철민
공감
완화
심한
하던데
명복
되니
탈
값
성범죄
..!!
바꿔
서는
탈모
높은
유
가르기
드
연루
했네
많다
종
능
만들어서
함부로
께
보이지
세월호
무죄
여야
의심
이재
가게
않아
단군
사악한
현동
주민
고생
더한
노력
논문
자를
만을
가능성
임기
코미디
위기
죽으면
다가
절대로
증명
푼
같으면
면제
토
없어서
선심
열심히
나온다
왕
로서
진정한
에만
신경
엄청난
찬양
경력
회
표절
없애는
연간
막말
가자
작정
중이
진보
하겠냐
하네요
하나요
타
조직
한쪽
했을
종전
대부분
지하
별로
미필
어쩌
압박
되겠네
기준
공소
전파
하시는
달인
강북
안정
외교
구나
싶으면
파리
있다가
죗값
이상한
근본
하는가
얻으려고
ㅈ
나와서
하도록
집중
지도
매일
사용
믿지
아가리
주의자
통해
비교
철저히
초기
여러
되려고
대신
찍는다
시켜라
인터뷰
할지
기하
이하
죽어야
초
안달
무능한
가정
부하
회사
되겠다
장기
라이
계획
죽었다
감소
구라
지구
정답
주의
보이는
키
아닐까
멍청이
국회
잔
해주고
망신
핵폭탄
하자는
젊은이
짜장
어째
되
질질
걸리면
병력
법안
보입니다
평등
직업
죽이는
호소
뇌물
강요
여가
국감
성분
아픈
찬사
친형
입원
연관
진작
👍
리더
왜곡
직
파악
대면
교도소
강화
입장
부서
격리
도리
대유
귀
풀어
보유
빛
코
장사
없애고
...?
짜고
아닌가요
나오지
아비
빠진
사이코패스
클럽
정신병
근절
예방
권리
시켜야
대단하다
